Dealer Name,Courses Taken,Pass Rate
15 light years,23,0.76
21st century power solutions llc,2,0
360 solar energy inc,4,0
93 energy,6,1
a & r solar corporation,3,0
a.m. shine electric inc,2,0
a.m. sun solar energy systems,1,0
a1 sun inc,6,0
absolute electric and solar,3,0
absolutely energized solar electric inc,2,0
a-c electric company,8,0
ac solar,4,0
accessible solar and energy storage inc,2,0
acro electric inc,5,0
active solar inc,2,0
ad solar inc,2,0
"adce investments llc, dba vale sollar",9,0
advanced alternative energy solutions,4,1
advanced solar electric,1,0
aec solar energy corp,130,0.9
aegis electrical systems llc,8,0
aeon solar,2,0
"air sun, inc",126,0.833333333
airstream services,1,0
albion power,3,0
all in 1 energy pros,1,0
all solar & energy solutions llc,2,0
all solar electric inc,5,0
allen energy,9,0
allied energy inc,2,0
allterra solar,18,0
allura solar,2,0
altenergy,2,0
"alteris renewables inc, dba real goods solar",10,0
alternative energy systems inc,125,0.689655172
alternative energy technologies llc,4,0
"alternative power generation inc, dba apg solar",2,0
ambassador energy inc,2,0
ambrose construction,880,0.795454545
ameco solar inc,6,0
american renewable energy,10,0
american solar,7,0
ameritech solar,1,0
andy's heating and airconditioning inc,4,0
"angle homes inc, dba angle solar solution",6,0
anthony fiore construction inc,2,0
anthony lewis inc,3,0
apex solar inc,2,0
aram solar,3,0
are solar,2,0
argand energy solutions,7,0
arise solar,27,0.666666667
arizona solar concepts,210,0.828571429
arizona solar power llc,6,0
"arizona solar solutions, dba premier solar solutions",12,0
astrum solar,1,0
atomic solar energy inc,4,0
aurora energy inc,12,0
aztec solar power llc,8,0
baker renewable energy,4,0
barnum & celillo electric inc,1,0
bass electric,1,0
bay area energy solutions,1,0
"bay area solar solutions inc, dba your energy solutions",4,0
beaumont solar company,3,0
befree green energy llc,2,0
berg electric inc,2,0
berger solar electric,24,0.666666667
bestway mechanical,5,0
beutler corporation,2,0
bland a/c and heating inc,2,0
blue raven solar holdings llc,30,0
bluesel home solar,30,0.333333333
bombard electric llc,3,0
bonterra services,2,0
bresco,2,0
brighter electric inc,2,0
brightergy llc,5,0
britestreet solar group,2,0
burtek energy llc,16,0.75
byers solar systems,162,0.333333333
cal valley solar,2,0
california premier solar,536,0.910447761
california solar concepts inc,2,0
california solar electric,126,0.666666667
california solar electric company,72,0.666666667
california solar engineering,2,0
"california solar innovators inc, dba calsolar",160,0.9
california solar systems,4,0
cape fear solar systems llc,20,0
capital city solar electric,33,1
capital energy conservation,2,0
capital sun group ltd,1,0
carnahan electric ltd / aes,2,0
catskill solar,2,0
cavalti llc,2,0
cell energy inc,2,0
century roof & solar,2,0
certasun llc,504,0.958333333
clary solar,2,0
clean currents solar,5,0
clean energy of america,2,0
clean energy usa llc,4,0
clean power systems,9,0
clean solar,5,0
clear solar solutions inc,3,0
cm solar electric,2,1
coastline heating air conditioning,2,0
cobalt power systems,17,0
complete solar solutions,2,0
consolidated edison solutions inc,3,0
cool brew solar and electric,176,0.477272727
cool earth solar,2,0
cosmic solar,272,0.911764706
creative energies,4,0
cresttel,1,0
"CSI, dba vanguard energy",4,0
c-tec solar llc,8,1
custom electrical service llc,8,0.75
custom solar,2,0
d&d plumbing heating and cooling,2,0
desert solar homes,1,0
diablo solar services,11,0
distributed energy partners,4,0
district energy llc,2,0
divine power usa,4,0
dmv equity inc,12,1
do not use - former partner employees,381,0
dority roofing,1,0
downstream construction,3,0
e2 solar inc,13,0.5
earthlight technologies llc,366,0.786885246
eclipse energy and construction,456,0.828947368
eco solar llc,10,0
ecobilt energy systems,2,0
econo air,2,0
ecosolar usa,119,0.411764706
ecs energy ltd,3,0
edge energy,11,0
electric tech construction inc,2,0
electrical contracting enterprises llc,2,0
electrical distribution services,5,0
empower solar,66,1
empower solar solutions,33,0.454545455
endurance solar & engineering,2,0
energized solar,2,0
energy builders inc,18,0.444444444
energy by choice ltd,8,0
energy concepts,318,0.65
energy conservation services,1,0
energy efficiency solar,1,0
energy house,5,0
energy industries llc,14,0
energy plus solar inc,315,0.514285714
energy savers home performance,4,0
envinity inc,4,0
"environmental control inc, dba encon",8,1
esa solar energy llc,10,0.6
esmay electric,70,0.928571429
etm solar,4,0
fidelity roof company,1,0
fls energy,8,0
frase electric llc,2,0
freedom solar,39,1
freedom solar power,42,0
fresno economic opportunity commission,65,0
future energy corporation southern california,4,0
gaia energy systems,4,0
gary luke roofing,1,0
generation 819,3,0
genrenew llc,216,0.666666667
geo innovation llc,2,0
geogenix llc,32,0
geopeak energy llc,5,0
geoscape solar,10,1
get solarize,94,0.29787234
go solar electric llc,3,0
go solar/green ny llc,11,1
goggin energy,2,0
golden energy inc,1,0
golden state solar inc,2,0
golden west energy,1,0
good energy renewables inc,4,1
good energy solutions,2,0
goosebumps inc,1,0
gosimplesolar.com by semper fidelis construction inc,1,0
granite expo & company inc,3,0
grassroots solar inc,11,0
green choice solar,4,0
green convergence,784,0.734693878
green energy group,6,0
green energy products llc,4,0
green power installers,2,0
green power professionals,1,0
green stream solar + electric,2,0
green street,4,0
green team li,8,0.5
green tech solutions inc,4,0
greenlogic llc,9,0
greenmind energy llc,1,0
grid alternatives,5,0
"halco, renewable energy division",9,0
hamilton solar,3,0
harmon electric inc,8,0
hawaii pv partners llc,2,0
"heat shed, a geogenix company",10,0
heliopower inc,4,0
heliotek corporation,2,0
herca solar,8,0
heritage solar inc,6,0
hes solar,620,0.870967742
hesolar,2,0
high noon solar & energy products,4,0
hi-power solar llc,11,0
home energy systems inc,6,0
"home networks, electric & solar inc",4,0
honey electric solar inc,1,0
honey's air & solar,24,0.833333333
hooked on solar,760,0.878947368
horizon energy systems,2,0
hot purple energy,4,0
hpm solar inc,3,0
hudson solar,17,0
hunt electric corp,1,0
independent power systems,13,0
infinity energy,51,0.705882353
infinity solar systems,52,0.5
integrated energy systems,2,0
integrated power supplies international inc,1,0
intermountain wind and solar llc,2,0
island electric,4,0
islandwide solar llc,2,0
jamar electric san diego inc,2,0
jamar power systems,3,0
jersey solar llc,1,0
jk solar inc,2,0
joule energy,2,0
jp electric and solar,240,0.791666667
kama'aina solar solutions,2,0
kamtech solar solutions,245,0.693877551
kbi electric inc,56,0.678571429
kg solar and renewable energy llc,3,0
kps solar,5,0
kurios energy,60,0.6
kv solar supply,1,0
kw solar solutions,2,0
l&m roofing association llc,1,0
la solar group inc,6,0
legacy solar,336,0.8125
"legend ventures llc, dba legend solar",4,0
lifestyle solar inc,2,0
lifetime power,18,0.666666667
"lightwave solar electric, antioch",9,0
litchfield hills solar llc,2,0
living solar,2,0
lotus energy,16,0
luminalt,93,0.666666667
m. kahn solar inc,24,0.75
majestic son & sons inc,4,0
martifer solar,8,0
maui solar project llc,2,0
"mauzy heating, air and solar",4,0
"mechanical energy systems inc, the solar specialist",2,0
mendocino solar service,2,0
mercury solar systems inc,5,0
meridian solar inc,2,0
metro rf,2,0
milholland electric,272,0.852941176
mimeos sustainability consultants,1,0
mira bella builders,2,0
mirasol solar,12,0.666666667
mission city construction inc,1,0
mohr power solar inc,5,0
"mosher enterprises inc, dba consolidated solar technologies (cst) albuquerque",25,0
mountain view solar,3,0
moxie solar inc,64,0.46875
mr. solar,1,0
my solar llc,1,0
namaster solar,98,0
natural energy,2,0
nb baker electric,15,0
nd burtek energy llc,1,0
nd enlight energy llc,1,0
nd ion solar pros llc,76,1
nd kamtech solar solutions,1,0
nd provoltz,1,0
nd quality home services,2,0
nd savkat inc,1,0
nd solar energy designs,2,0
"nd tkh building service inc, dba revolt solar",2,0
"neil kelly co, dba mr. sun solar",1,0
new england clean energy llc,9,0
new york state solar farm inc,115,0.608695652
next solar inc,32,1
nextenergy corp,10,0
nm solar group inc,2,0
nogginhaus llc & runnemede phce,6,0
north shore solar,1,0
northern pacific power systems inc,90,0.6
oak electric,4,0
occidental power,7,0
olympic sun,2,0
one solar,2,0
one world sustainable energy corp,2,0
pacific electric solar,2,0
pacificsky solar llc,4,0
pavletich electric and communications inc,20,1
peak power solutions,2,0
peak solar designs llc,2,0
pell solar,4,0
perfect power inc,3,0
permacity corp,7,0
phat energy corporation,5,0
"philip a harris, dba pa harris electric",1,0
phoenix solar specialists llc,2,0
photon brothers,5,0
"pm&m electric inc, dba titan solar power",30,0.8
poco solar energy inc,8,0
"positive energy inc, new mexico",4,0
potere solar,4,0
power production management inc,7,0
power trip energy corp,14,0
powerhouse solar inc,42,0.666666667
precis solar,3204,0.842696629
prospect solar,2,0
provision solar inc,2,0
provoltz inc,10,0
psr,1,0
pure energy solar inc,4,0
purepoint energy,50,0.8
pv squared,22,0
pv technology inc,4,0
quad state solar,1,0
quality home services,1070,0.794392523
quantum llc,1,0
radiance solar,4,0
rainshadow solar & energy solutions inc,2,0
rayah solar,3,0
"real goods energy tech, dba real goods solar",6,0
redwood city electric,2,0
regional sales manager,2,0
renewable energy electric inc,2,0
renewable power systems llc,5,0
renewable rochester,6,0
"renewergy solutions group llc, dba solar & more",1,0
renova energy corp,2525,0.861386139
renovus energy inc,15,0
renu energy solutions,2,0
restart solar,7,0
revco solar engineering inc,5,0
revision energy inc,4,0
revolusun,39,0.8
revolution solar,2,0
rising sun llc,17,0
roofsimple inc,2,0
ross solar,13,0
rowe electric inc,2,0
rugg's construction,2,0
salt river solar & wind,3,0
salt service inc,5,0
savkat inc,140,0.771428571
scudder solar electrical energy systems,5,0
scurfield solar and heating,44,0.909090909
sea bright solar llc,693,0.743589744
secco inc,4,0
second generation energy llc,15,0.666666667
sel construction,2,0
semper solaris construction inc,10,0
sequoia solar,2,0
shippee solar and construction llc,4,0
sierra roofing & solar,1,0
simmitri inc,2,0
simple solar systems,9,0
sky engineering,6,0
sky power systems,8,1
sky solar energy inc,10,0.7
skyway electric,1,0
slingshot power,8,0
smart energy solar inc,3,0
smart home remodeling inc,2,0
smart solar llc,3,0
sol reliable inc,1,0
solaire energy systems systems,4,0
solar alliance of america inc,2,0
"solar communities, dba suncommon suncommon",12,0
solar distributors inc. inc,2,0
solar energy designs inc. inc,1,0
solar energy exchange inc,2,0
solar energy partners llc,4,0
solar energy solutions inc,2,0
solar energy solutions llc,3,0
solar energy systems,1,0
solar energy world,2,0
solar five llc,250,0.48
solar forward,20,0.5
solar generation,1,0
solar greenergy,1,0
solar holmes,2,0
solar hut llc,18,0.5
solar ki,2,0
solar liberty energy systems,4,0
solar lights inc,1,0
solar maximum llc,3,0
solar mite solutions llc,18,0.785714286
solar panel solutions inc,1,0
solar plus llc,2,0
solar solution,2,0
solar solutions 4u inc,10,0.2
solar system inc,1,0
solar tec systems inc,2,0
solar technologies,340,0.705882353
solar topps,14,0
solar unlimited,5,0
solar vast,21,0.714285714
solar wave,1,0
solar works ca,10,0
solar wrights inc,8,0
solarcraft,5,0
solardelphia,8,0
solar-fit,4,0
solarmax renewable energy provider inc,2,0
solaron,3,0
solarone energy group llc,60,0.6
solarponics,2,0
solartech,132,0.696969697
solartistry,1,0
solforce systems inc,3,0
sol-tek industries,12,0
sonic solar energy,2,0
south coast solar,100,0.75
south mountain company,8,0
south sound solar,4,0
southard solar & construction,3,0
southern energy management,19,0
"southwest sustainable energy llc, dba border solar",4,0
standard solar inc,20,0
star installations inc,2,0
stellar solar electric,2030,0.75862069
straight up solar,2,0
streamline solar power systems llc,275,0.727272727
stroops accurate refrigerations inc,2,0
sullivan solar power,10,0
summerwind solar llc,6,0
sun farm ventures,1,0
sun first! Inc,135,0.6
sun light & power,2,1
sun metrics corporation,3,0
sun pacific solar electric inc,4,1
sun solar,3927,0.732620321
"sun source, dba lighthouse solar",2,0
sun valley solar inc,465,0.666666667
sunation solar systems inc,14,0
sunbelt solar energy,4,0
sunblue energy,1,0
sunbug solar llc,6,0
suncraft solar,2,0
sundance power systems,2,1
sunergy systems,6,0
sunetric,45,0
sunfiniti of wisconsin,2,0
sunharvest solar,2,0
sunlectric inc,2,0
sunlight solar energy inc,9,0
sunlight solar systems,1,0
sunmade energy inc,4,0.9
sunnymac,1080,0.577777778
sunon energy,4,0.5
sunpower applications and technical support,83,0
sunpro solar,88,0.818181818
sunrise solar inc,4,1
sunrise solar solutions inc,20,0.8
suns up solar,1,0
sunsational solar electric,2,0
sunsense inc,8,0
sunshine pacific group america inc,10,1
sunspear energy llc,2,0
sunstore solar,5,0
suntalk solar,1,0
suntime energy builders,21,0
suntuity,4,0
sunworks inc,6,1
sunworks solar systems inc,5,0
sustainable future,2,0
swan solar,3,0
swg energy,8,0
switch electric llc,1,0
synergy 768 inc,22,0.692307692
t&g roofing company inc,3,0
"taitem engineering, pc",7,0
tayco electric and solar inc,6,0
technicians for sustainability,13,0
terrasol energies inc,4,0
the boston solar company,6,1
the energy savings store,2,0
the energy shop inc,2,0
the entech group,3,0
the solar company,54,0
the solar quote llc,93,0.741935484
third sun solar,3,0
thompson and son energy,16,0.5
titan solar construction,6,0
todays energy store llc,152,0.921052632
training support group,15,0
treepublic inc,4,0
"trinity construction enterprises inc, dba trinity power",26,0.769230769
triple line solar,2,0
true power solar,90,0.8
true south solar inc,4,0
tsp solutions,4,0
ultra solar & wind solutions llc,2,0
urban energy,48,0.9375
us solarworks llc,4,0
usnoa inc,1,0
"valley heating, cooling, electrical",1,0
"valley pacific builders inc, dba pacific solar",48,0.916666667
valley solar inc,12,1
vantage home solar llc,8,1
venture solar,495,0.606060606
verengo inc,6,1
via solar,6,0
vision solar llc,236,0.576271186
vista solar,1,0
wegen solar inc,2,0
western sierra roofing,1,0
western sun systems,2,0
westhaven solar & construction,8,0
wildwood aquatech pools,2,0
windor,1,0
xero solar,5,0
yellowlite,2,0
yes solar solutions,9,0
